Descriptor,Importance
MATS8s,0.0008174535473549127
ATSC2are,0.0008169725694009529
ATSC7se,0.0008164052930388882
JGI3,0.0008162997810750743
ETA_eta_R,0.0008143802570364878
MATS2dv,0.0008141580123702709
PEOE_VSA9,0.0008137969649693028
AATS1d,0.0008136674058698644
GATS3s,0.0008114207489331796
AATSC8pe,0.0008098146807275364
EState_VSA2,0.0008093191371860682
ATS7i,0.0008038684797041423
AATSC7dv,0.0008038374263454823
SM1_Dzare,0.0008034949032499726
BIC0,0.000802927992694731
ATS2pe,0.0008006296073382647
FilterItLogS,0.0008002894700175249
ETA_shape_p,0.0007981539921319416
ATSC5v,0.0007976264046221513
AATS4i,0.0007963503748074231
SsssN,0.0007951798737327116
ETA_epsilon_4,0.0007943655386499594
ATS8are,0.0007936897342225546
SpMax_Dzpe,0.0007926874973158768
SsOH,0.0007910400239714486
MATS2Z,0.0007892472556946746
AATS2Z,0.0007873793690680213
MWC03,0.0007871343569231145
AATS6v,0.0007860374273914416
AATSC0pe,0.000785817309879731
MATS6v,0.0007856350280228178
SMR_VSA1,0.0007853455043746075
TIC5,0.0007847107228589699
AATSC2d,0.000784440955269794
GATS2Z,0.0007799666507168801
AATSC8v,0.0007798913857839544
AATS8m,0.0007781082604538425
nAtom,0.0007776605573445414
AATSC1p,0.00077476110216841
ATSC3s,0.0007734303587879056
ATSC0are,0.0007733739154741937
SsssCH,0.0007707664510353639
SM1_DzZ,0.0007706073165989995
AATS5i,0.0007700042248027505
AATSC8c,0.0007698725109253257
AXp-4dv,0.0007696588837931705
ATSC3pe,0.0007682768791564445
AATSC4p,0.0007677611901610765
Mpe,0.0007665893805671756
ATSC8i,0.0007661457156660645
ATS3dv,0.0007642959317938664
BIC5,0.0007635071363379182
AATSC4s,0.0007631953502738702
MATS4c,0.0007631800659646199
GATS2p,0.0007614903754158106
MATS6Z,0.000759810289599693
ETA_epsilon_2,0.0007590519645730189
ATSC4i,0.0007585829959750563
BCUTi-1h,0.0007585180195772781
ETA_beta,0.0007575444698410369
Xpc-6d,0.0007573316083982479
AATSC6s,0.0007555282606547907
AATS5are,0.0007535849254568714
GATS8v,0.0007534722100210998
AATS4pe,0.0007519329999632397
MATS1dv,0.0007497737164848323
Mp,0.0007486576947462945
LogEE_Dzare,0.0007426179190569024
VE1_Dzi,0.0007420528983531794
AATSC3se,0.0007408943915594473
piPC1,0.0007407302783127977
AATS4dv,0.000738788643000653
VMcGowan,0.0007348040170022455
MATS6c,0.0007346464209936204
AATS5dv,0.0007328802758846963
ATS8Z,0.0007326832258767056
ATSC2Z,0.0007320397270024391
VR2_Dzp,0.0007295356854766659
GATS6se,0.0007232057516078659
VE1_D,0.0007230695662304915
ATS8s,0.0007218269272507174
SlogP_VSA5,0.0007213458393492355
GATS3are,0.0007211811154259661
SpMax_DzZ,0.000719318438195469
GATS4Z,0.0007183954169799646
AATS3p,0.0007182310907906774
ATSC0v,0.0007180032716741783
SpDiam_Dzm,0.0007178258414447966
AXp-2dv,0.0007172842824950276
ETA_dBeta,0.0007145717306606249
MID_O,0.0007145257368986735
GATS3v,0.000714033142553045
MAXdO,0.000713080531741325
GATS2pe,0.0007114808808614537
ATS2s,0.0007113965620040449
MAXaaCH,0.0007112202356681065
MATS3pe,0.0007110976213975414
ATSC7are,0.0007110505905289111
AETA_eta,0.0007107890252228971
SssO,0.0007102433977899017
AATS0m,0.000709925018410029
piPC10,0.0007068062346361363
SpMAD_D,0.0007065956221238012
MATS5Z,0.0007034137107155284
GATS5i,0.0007033360065226014
Xch-6d,0.0007029131656618227
VSA_EState4,0.0007028481551076054
VE2_Dzp,0.0007027523428874331
GGI4,0.0007010703939364566
SIC0,0.0006996222945384818
GATS7se,0.0006989758514175631
